English Word,French Word,Frequency
abide,respecter,36
about,sur,403
above,au dessus,142
abroad,à l'étranger,60
absence,absence,55
abuse,abuser de,44
according,selon,45
account,Compte,44
accuse,accuser,38
acquainted,connaissance,39
action,action,112
advantage,avantage,72
advice,Conseil,43
affairs,affaires,67
affection,affection,71
affections,affections,39
afraid,peur,40
after,après,403
afterwards,ensuite,38
again,encore,750
alive,vivant,89
almost,presque,160
alone,seul,234
along,le long de,112
already,déjà,145
although,bien que,77
always,toujours,61
ambition,ambition,44
ancient,ancien,78
angel,ange,50
anger,colère,54
another,un autre,425
answer,répondre,376
anything,n'importe quoi,104
apparel,vêtements,40
appear,apparaître,129
appears,apparaît,49
approach,approche,72
argument,argument,66
ariel,Ariel,82
armour,armure,41
aside,de côté,61
asleep,endormi,58
assure,assurer,50
athens,Athènes,70
attend,assister,116
attended,assisté,44
authority,autorité,55
avoid,éviter,38
awake,éveillé,76
awhile,quelque temps,100
banish,bannir,37
barren,Dénudé,40
bassianus,bassianus,41
bastard,Connard,203
battle,bataille,111
beard,barbe,89
bearing,palier,69
bears,ours,106
beast,la bête,70
beaten,battu,46
beauty,beauté,199
because,car,186
become,devenir,140
bedford,Bedford,47
before,avant,827
beggar,mendiant,60
begin,commencer,111
behalf,nom,43
behind,derrière,116
behold,voir,155
being,étant,657
believe,croyez,229
belike,être comme,42
below,au dessous de,54
benefit,avantage,39
besides,outre,106
betray,trahir,37
better,mieux,588
between,entre,235
beyond,au-delà,59
birth,naissance,83
bishop,évêque,43
bitter,amer,73
black,noir,158
blame,faire des reproches,82
bless,bénir,105
blessing,bénédiction,45
blest,heureux,53
blind,aveugle,80
blood,du sang,631
blows,coups,70
blunt,cru,65
blush,rougir,50
bodies,corps,43
bones,des os,75
borne,supporté,77
bottom,bas,103
bought,acheté,50
bound,lié,172
bounty,prime,40
brain,cerveau,79
brains,cerveaux,45
brave,courageux,160
breast,Sein,93
breath,souffle,205
breed,race,48
brief,bref,89
bright,brillant,68
bring,apporter,443
broke,cassé,85
brook,ruisseau,77
brother,frère,545
brought,apporté,195
brows,sourcils,42
burden,fardeau,42
buried,enterré,56
burning,brûlant,45
business,Entreprise,229
cannot,ne peux pas,759
capitol,Capitole,43
captain,capitaine,168
cardinal,cardinal,138
cares,se soucie,36
carry,porter,86
castle,Château,103
catch,capture,68
cause,cause,333
cease,cesser,45
certain,certain,174
chain,chaîne,64
chair,chaise,38
challenge,défi,48
chamber,chambre,112
chance,chance,103
change,changement,155
charge,charge,198
charity,charité,53
chaste,chaste,38
cheek,joue,74
cheer,acclamation,72
chide,gronder,49
chief,chef,107
child,enfant,226
choice,choix,69
church,église,62
cinna,cinna,40
citizen,citoyenne,186
civil,civil,49
claim,prétendre,62
clarence,clarté,197
claud,claud,124
claudio,Claudio,166
clear,clair,59
clifford,Clifford,133
close,proche,103
cloten,cailloter,104
clothes,vêtements,39
clouds,des nuages,59
clown,pitre,348
college,Université,224
colour,Couleur,72
comes,vient,610
comfort,confort,186
coming,venir,145
cominius,cominius,102
command,commander,170
commanded,commandé,40
commend,saluer,87
commercial,commercial,221
commission,commission,47
commit,commettre,39
common,commun,151
companion,un compagnon,37
company,entreprise,202
complete,Achevée,245
complexion,complexion,40
condition,état,56
conduct,conduite,48
confess,avouer,122
conscience,conscience,118
consent,consentement,93
consider,considérer,49
constable,gendarme,83
constant,constant,48
contempt,mépris,46
content,contenu,154
contrary,contraire,47
copies,copies,446
copyright,droits d'auteur,228
could,pourrait,621
council,conseil,48
counsel,Conseil,130
count,compter,107
counterfeit,contrefaire,52
countess,comtesse,121
country,pays,137
courage,courage,63
course,cours,155
court,tribunal,246
courtesy,courtoisie,62
cousin,cousin,254
coward,lâche,84
crave,demander,41
creature,créature,65
credit,crédit,50
cromwell,Cromwell,44
cross,traverser,62
crown,couronne,251
cruel,cruel,70
cunning,ruse,74
cupid,Cupidon,40
curse,malédiction,97
custom,Douane,43
dagger,dague,39
damned,damné,44
dance,Danse,66
danger,danger,98
darkness,obscurité,38
daughter,fille,400
deadly,mortel,49
dearest,très cher,55
dearly,chèrement,42
death,décès,841
deeds,actes,118
defend,défendre,66
degree,diplôme,46
delight,délice,56
deliver,livrer,99
demand,demande,59
denied,refusé,55
depart,partir,62
desert,désert,41
deserve,mériter,64
